name,description,key_skills,experience_id,premium,employer_name,salary_from,salary_to,salary_gross,salary_currency,area_name,published_at
Разработчик JavaScript (Node.js Back-end),"OneTwoTrip — самый высокотехнологичный сервис путешествий. Ежедневно на нашем сайте и в мобильном приложении десятки миллионов поисковых запросов превращаются в десятки тысяч путешествий. Более 2,5 млн. человек — наши клиенты. Наш сервис функционален, прост и удобен в использовании. Мы создаем уникальные предложения, собирая в реальном времени комбинации из авиабилетов и отелей, и легко комбинируем рейсы разных авиакомпаний, включая лоукостеры. Купить билет на Сапсан в нашем приложении можно за 1 минуту. Сервис находит, выписывает и бронирует лучшие варианты, принимает оплату картами, Apple Pay и оказывает круглосуточную поддержку по всем современным средствам связи, включая мессенджеры. Наша команда непрерывно работает над качеством и скоростью поиска, чтобы путешественники находили лучшие варианты и цены на отели, авиа и ж/д билеты, туры и другие продукты.Мы всегда ищем талантливых и амбициозных специалистов и руководителей. Приходите к нам работать и рекомендуйте друзьям! Наша система построена на стеке Nginx/React/Node.js/Riak/Redis. OneTwoTrip это настоящий высоконагруженный проект, участвовать в котором мы доверяем лучшим профессионалам своего дела.   Основные задачи:  Разработка нового и поддержка текущего функционала системы    Что мы ожидаем от Вас:  Опыт разработки на JavaScript Опыт разработки серверных приложений в среде Unix на каком-либо языке (python, ruby, php, nodejs) Понимание принципов построения масштабируемых систем, основные проблемы, пути решения    Мы предлагаем:  ДМС Бонусы и премии за результат: мы любим строить смелые планы и еще больше любим воплощать их Интересные и амбициозные задачи Неограниченный профессиональный рост и возможность работать с технической системой мирового уровня Ресурсы на реализацию смелых идей, идущих на пользу сервису Работу по гибкому графику в одном из лучших офисов Москвы рядом с метро «Проспект мира», «Цветной Бульвар», «Достоевская» Посещение профильных мероприятий, библиотека с хорошими книгами и обмен опытом с интересными людьми  А ещё вы будете работать в отличной команде, участвовать в необычных тимбилдингах и веселиться на пятничных вечеринках. И конечно же в офисе всегда есть вкусный бесплатный кофе и утренние фрукты :)","JavaScript
Node.js",between1And3,False,OneTwoTrip,120000.0,200000.0,True,RUR,Москва,20-06-27+0300 01/07/2017
Frontend - разработчик,"Frontend - разработчик   Мы занимаемся:  Компания Mircod занимается разработкой электронных устройств и программного обеспечения для мобильных, веб и десктопных платформ.  Требования:  Отличные знания JavaScript, HTML5, CSS от 2х лет SASS или LESS Bootstrap JSON Использование распределенных систем контроля версий (GIT); Понимание принципов кроссбраузерной разработки Разработка новый сайтов согласно дизайну Поддержка существующих сайтов Поисковое продвижение  Приветствуется:  PHP Ruby on Rails Node.js Python  Мы предлагаем:  Белая заработная плата, оформление по ТК Полный рабочий день Работа из офиса в центре Казани (5 мин. от ст. Кремлёвская) Молодой дружный коллектив Заработная плата по результатам собеседования с возможностью роста ","JSON API
Git
HTML5
JavaScript
CSS3
Less
Sass
Bootstrap
PHP",between1And3,False,Mircod,70000.0,100000.0,False,RUR,Казань,20-16-49+0300 06/07/2017
PHP-разработчик,"PHP разработчик   Мы - компания ILAR Technology - ищем опытных разработчиков для реализации и поддержки проектов на 1С-Bitrix, Wordpress. В нашем коллективе трудятся программисты, влюбленные в свою профессию. У нас много интересных проектов, поэтому прямо сейчас в нашу команду требуются амбициозные PHP-разработчики.   ЧТО ТРЕБУЕТСЯ ОТ ТЕБЯ:  Опыт работы с 1С-Bitrix, Wordpress Опыт программирования и веб-разработки с использованием PHP от 2х лет Понимание принципов ООП; Знание основ Unix/Linux Знание основ HTML/CSS, JavaScript, jQuery Знание СУБД MySQL и особенностей её работы (знание других СУБД будет плюсом) Опыт работы в команде Умение работать с чужим кодом и способность писать понятный код Опыт работы с системами контроля версий (мы используем Git) Ответственный подход к работе, желание развиваться, любовь к современным технологиям в web-разработке Умение рассчитывать сроки выполнения задач    ЧТО НУЖНО БУДЕТ ДЕЛАТЬ У НАС В КОМПАНИИ:  Разрабатывать проекты различной сложности: от корпоративных сайтов до высоконагруженных сервисов; Поддерживать существующие проекты; Общаться с коллегами. Коммуникация - наше всё! Ну и самое главное: предстоит писать много качественного, хорошего кода.    Условия работы  5 дневная рабочая неделя (в выходные работа не допускается); Рабочий день начинается в 9 и заканчивается в 18; Официальное трудоустройство, белая зарплата.    В офисе  Работа в центре Казани е в 5 минутах пешком от станции метро Площадь Тукая; Перерыв на обед в течение часа в промежутке с 12 до 16; Рабочее место, оборудованное столом, стулом и компьютером iMac или аналог на Windows&#39;е; Кофе крепкий; Чай в пакетиках; Вода в кулере; Веселый коллектив (по крайней мере - мы так думаем)    Про офис  Рядом находится озеро Кабан; В офисе сидит молодой коллектив; Зимой тепло, летом — встречаем закаты, Офис вошел в обзоры красивых офисов от издания Enter ","1С-Битрикс
HTML
CSS
MySQL
CMS Wordpress
PHP
SQL
Git",between1And3,False,Илар Групп,40000.0,65000.0,False,RUR,Казань,17-27-12+0300 21/07/2017
Web-программист,Обязанности:  доработка web фнкционала на python написание addon для CMS на php работа с передачей данных посредством json контроль регламентных задач cron  Требования:  знания python / django знания php знания json nginx UNIX*  Условия:  работа с 9:00 до 18:00 рабочие дни Пн - Пт ,"Unix
Unix Shell Scripts
Python
PHP
MySQL
JavaScript
Nginx",moreThan6,False,Патрон Сервис Крым,30000.0,60000.0,True,RUR,Симферополь,09-00-39+0300 24/07/2017
Web-программист,"Обязанности:  Верстка и сборка проектов, программирование функциональных модулей систем управления и доработка функционала систем.  Требования:  Знание PHP, JavaScript, html, CSS. Умение разбираться в работе систем управления. Приветствуется знание 1С Битрикс и опыт работы. Желателен опыт разработки мобильных приложений, nodeJS  Условия:  Слаженный коллектив, стабильная зарплата, стабильная загрузка интересными проектами. Офис на северо-западе с зерновым вкусным кофе, чаем, газировкой и печеньками за счет компании. Официальное трудоустройство. Оклад + премия. ",1С-Битрикс,between1And3,False,Всевсеть,40000.0,60000.0,False,RUR,Челябинск,16-17-05+0300 24/07/2017
Junior project manager (producer) / ассистент,"Junior project manager (producer) / ассистент / помощник / стажер   В веселый дружный коллектив digital-агентства RVR Project, требуется начинающий project manager (producer) c обязательным желанием развиваться в сфере интернет-технологий, коммуникаций, рекламы, и всего такого прочего. Или просто бодрый, активный, энергичный, грамотный ассистент, который хочет научиться чему-то новому, и готов помогать нам с различными внутренними и проектными задачами. Мы гарантируем большой объем разноплановых задач и максимальную помощь в их решении. Первые пару раз. А дальше — по аналогии. В зависимости от внутренней природной предрасположенности и успехов в работе, у нас можно прокачаться и развиться в крутого digital-специалиста cо стремительным карьерным ростом в какой-то узкой специализации. Или широкой, как сложится ;) Обязанности:  Решение различных задач в рамках проектов по разработке и поддержке сайтов и приложений, SEO, SMM, SERM, ORM, контекстной, медийной и таргетированной рекламе Подготовка презентаций и коммерческих предложений Составление смет и таймлайнов Разработка технических заданий и прототипов Мониторинг поисковых систем, социальных сетей, форумов и блогов Оценка тональности комментариев Ответы и комментарии в социальных сетях и на форумах Создание и размещение контента на сайтах и форумах, в социальных сетях и блогах Аналитика, статистика Работа с различными сервисами Подготовка отчетов и данных для них И еще длиннющий список возможных задач и процессов  Требования:  Активность и энергичность Внимательность, организованность и исполнительность Обучаемость Желание учиться и развиваться Грамотная устная и письменная речь Умение пользоваться интернетом и поисковиками Знание социальных сетей Владение стандартным пакетом офисных программ Чувство юмора Любовь к прекрасному  Плюсами будет:  Владение графическими или видео редакторами Опыт в любом из направлений нашей деятельности Навыки работы с какими-либо CMS (лучше Bitrix) Знания HTML/CSS Наличие вкуса и чувства стиля  Условия:  Агентство на этапе развития График работы: 5/2 Обучение, тренинги, семинары, конференции Испытательный срок от месяца до трех Трудоустройство по ТК РФ Адрес: Москва, Кутузовский проезд, (Парк Победы, Фили) Тип занятости: полная занятость (хотя, можем рассмотреть и частичную, если Вы нас впечатлите) Кофе, чай, печеньки, апельсины ","Русский язык
Грамотная речь
Грамотность
Пользователь ПК
Работа в команде
Деловое общение
Деловая переписка
Поиск информации в интернет
Internet
Написание текстов
MS Excel
Исполнительность
Ответственность
Adobe Photoshop
Adobe Illustrator
CorelDRAW
1С-Битрикс
Социальные сети
Обработка видео
SMM
Чувство юмора
Adobe After Effect
Final Cut",noExperience,False,Энтерпрайз,20000.0,35000.0,False,RUR,Москва,14-32-16+0300 26/07/2017
